date,open,high,low,close,volume,daily_return,ma_30
2000-01-03,1469.25,1478.0,1438.359985,1455.219971,931800000,,
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,-3.834466823710192,
2000-01-05,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,0.19221827009932024,
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,0.09556782380377715,
2000-01-07,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,2.7090399606277016,
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,1.1189969492607643,
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,-1.306251187808749,
2000-01-12,1438.560059,1442.599976,1427.079956,1432.25,974600000,-0.4386371608555817,
2000-01-13,1432.25,1454.199951,1432.25,1449.680054,1030400000,1.2169700820387375,
2000-01-14,1449.680054,1473.0,1449.680054,1465.150024,1085900000,1.067129947557377,
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1056700000,-0.6832071007084828,
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1087800000,0.05222926949748352,
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,-0.7095320990255005,
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,-0.29123191248194846,
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,-2.7633593560598246,
2000-01-25,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,0.6064800485270139,
2000-01-26,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,-0.4212720919293256,
2000-01-27,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,-0.39384278314827936,
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,-2.7456829438884944,
2000-01-31,1360.160034,1394.47998,1350.140015,1394.459961,993800000,2.521756715577772,
2000-02-01,1394.459961,1412.48999,1384.790039,1409.280029,981000000,1.0627818951052692,
2000-02-02,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,-0.01135572751382874,
2000-02-03,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,1.124813788480794,
2000-02-04,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,-0.04210446621404351,
2000-02-07,1424.369995,1427.150024,1413.329956,1424.23999,918100000,-0.0091271931068726,
2000-02-08,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,1.2273199125661272,
2000-02-09,1441.719971,1444.550049,1411.650024,1411.709961,1050500000,-2.0815422275925477,
2000-02-10,1411.699951,1422.099976,1406.430054,1416.829956,1058800000,0.3626803763836284,
2000-02-11,1416.829956,1416.829956,1378.890015,1387.119995,1025700000,-2.0969320188484186,
2000-02-14,1387.119995,1394.930054,1380.530029,1389.939941,927300000,0.2032950292811586,1421.7003295666666
2000-02-15,1389.939941,1407.719971,1376.25,1402.050049,1092100000,0.8712684370583146,1419.9279988333333
2000-02-16,1402.050049,1404.550049,1385.579956,1387.670044,1018800000,-1.025641346416728,1419.5363321666669
2000-02-17,1387.670044,1399.880005,1380.069946,1388.26001,1034800000,0.04251486169575269,1419.0746663333334
2000-02-18,1388.26001,1388.589966,1345.319946,1346.089966,1042300000,-3.037618579822088,1417.1626668333333
2000-02-22,1346.089966,1358.109985,1331.880005,1352.170044,980000000,0.4516843712955687,1414.1860026
2000-02-23,1352.170044,1370.109985,1342.439941,1360.689941,993700000,0.6300906485693591,1410.9556681
2000-02-24,1360.689941,1364.800049,1329.880005,1353.430054,1215000000,-0.5335445483388157,1408.1180012666666
2000-02-25,1353.430054,1362.140015,1329.150024,1333.359985,1065200000,-1.4829040437430607,1404.8216674333332
2000-02-28,1333.359985,1360.819946,1325.069946,1348.050049,1026500000,1.1017327777389285,1401.4340006
2000-02-29,1348.050049,1369.630005,1348.050049,1366.420044,1204300000,1.362708677888258,1398.1430012666667
2000-03-01,1366.420044,1383.459961,1366.420044,1379.189941,1274100000,0.9345513523512095,1395.6113321333332
2000-03-02,1379.189941,1386.560059,1370.349976,1381.76001,1198600000,0.1863462691829465,1393.1399983333333
2000-03-03,1381.76001,1410.880005,1381.76001,1409.170044,1150300000,1.9837043916186348,1391.9266682666669
2000-03-06,1409.170044,1409.73999,1384.75,1391.280029,1029000000,-1.2695426698979717,1390.2573364000002
2000-03-07,1391.280029,1399.209961,1349.98999,1355.619995,1314100000,-2.5631097447457174,1388.7270019333334
2000-03-08,1355.619995,1373.790039,1346.619995,1366.699951,1203000000,0.8173349493860282,1387.2826659999998
2000-03-09,1366.699951,1401.819946,1357.880005,1401.689941,1123000000,2.560180819088953,1387.2026651666667
2000-03-10,1401.689941,1413.459961,1392.069946,1395.069946,1138800000,-0.4722866881157195,1387.0863280666667
2000-03-13,1395.069946,1398.390015,1364.839966,1383.619995,1016100000,-0.8207438654118993,1387.8683267666668
2000-03-14,1383.619995,1395.150024,1359.150024,1359.150024,1094000000,-1.768547078564009,1386.6913288666667
2000-03-15,1359.150024,1397.98999,1356.98999,1392.140015,1302800000,2.4272516217827,1386.1199950666667
2000-03-16,1392.150024,1458.469971,1392.150024,1458.469971,1482300000,4.764603795976652,1387.7649942666665
2000-03-17,1458.469971,1477.329956,1453.319946,1464.469971,1295100000,0.4113900264868686,1389.0816609333335
2000-03-20,1464.469971,1470.300049,1448.48999,1456.630005,920800000,-0.5353449476773187,1390.1569946000002
2000-03-21,1456.630005,1493.920044,1446.060059,1493.869995,1065900000,2.5565853972642882,1392.4779947666668
2000-03-22,1493.869995,1505.079956,1487.329956,1500.640015,1075000000,0.4531866911216653,1394.4419962333334
2000-03-23,1500.640015,1532.5,1492.390015,1527.349976,1078300000,1.7799046228951898,1398.2966634
2000-03-24,1527.349976,1552.869995,1516.829956,1527.459961,1052200000,0.007201034584625177,1401.9843302333331
